Algorithm,InputSize,AverageTimeMs
Bubble,1000,4.35646
Insertion,1000,0.67042
Merge,1000,0.28488
Quick,1000,0.13358
Java,1000,2.13578
Bubble,5000,15.93196
Insertion,5000,4.18732
Merge,5000,2.1191
Quick,5000,0.2433
Java,5000,0.50516
Bubble,10000,93.55926
Insertion,10000,5.10184
Merge,10000,0.9737
Quick,10000,0.53874
Java,10000,0.81124
Bubble,50000,2740.48228
Insertion,50000,113.9849
Merge,50000,7.0594
Quick,50000,2.84384
Java,50000,5.1423
